ticker,name,sector,industry,currency,price,mktcap_B,pe,forward_pe,pb,ev_ebitda,ps,roe,roa,profit_margin,gross_margin,operating_margin,fcf,operating_cf,total_revenue,debt_equity,current_ratio,quick_ratio,total_debt,revenue_growth,earnings_growth,earnings_quarterly_growth,div_yield,payout_ratio,target_price,analyst_rating,num_analysts,beta,week52_high,week52_low,fcf_yield,upside_pct,group,score,grade,tier,days_to_earnings,opt_expiration,opt_dte,opt_strike,opt_pct_otm,opt_bid,opt_ask,opt_mark,opt_spread_pct,opt_oi,opt_iv,opt_roc,opt_ann_yield,opt_capital_secured
TD.TO,TORONTO-DOMINION BANK,Financial Services,Banks - Diversified,CAD,132.51,222.19,10.729554,12.781424,1.8086151,,3.3675296,17.815,1.039,33.021998,0.0,35.887,,23430000640,65979998208,,,,528488988672,21.1,51.3,44.8,326.0,34.25,140.42857,2.15385,14,0.839,136.49,78.06,,6.0,CA_Banks,46,C,🟠 WATCH,,,,,,,,,,,,,,
CM.TO,CANADIAN IMPERIAL BANK OF COMM,Financial Services,Banks - Diversified,CAD,133.96,123.29,13.968718,12.080691,1.9377705,,4.4169416,14.748,0.847,33.528998,0.0,44.713002,,-26968000512,27913000960,,,,299013996544,16.7,46.6,43.0,319.0,41.5,142.9643,2.21429,14,1.269,143.8,76.17,,6.7,CA_Banks,46,C,🟠 WATCH,,,,,,,,,,,,,,
FTS.TO,FORTIS INC,Utilities,Utilities - Regulated Electric,CAD,79.02,40.23,23.241175,20.527233,1.8069148,13.875,3.305808,7.583000500000001,3.01,14.782,45.596,28.904999999999998,-2633250048.0,4062000128,12170000384,1.34114,0.506,0.248,34694000640,4.4,5.0,7.0,321.0,73.09,76.63333,2.9375,15,0.438,80.44,61.32,-6.55,-3.0,CA_Utilities,46,C,🟠 WATCH,,,,,,,,,,,,,,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,USD,194.87,177.42,35.690475,24.640265,10.861108,23.216,10.034045,30.148000000000003,10.925,28.283,57.023996,34.027,-300624992.0,7152999936,17681999872,0.90819,4.353,2.708,14778999808,10.4,-3.2,-3.5,291.0,100.92000000000002,221.54968,2.54054,32,0.994,231.32,139.95,-0.17,13.7,US_Tech,45,C,🟠 WATCH,,,,,,,,,,,,,,
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,USD,49.33,50.47,18.069597,16.190332,1.7516512,12.292,2.080684,9.936,2.8380001,11.411,42.93,21.619,-2124249984.0,6254000128,24258000896,1.74488,0.924,0.607,50248998912,-1.1,-9.3,-8.2,341.0,58.60999999999999,51.41176,2.47619,17,0.505,50.65,41.71,-4.21,4.2,US_Utilities,44,C,🔴 SKIP,,,,,,,,,,,,,,
NA.TO,NATIONAL BANK OF CANADA,Financial Services,Banks - Diversified,CAD,185.01,72.21,17.823698,13.176646,2.2732968,,5.3671923,14.338999999999999,0.784,31.768,0.0,46.725,,-47511998464,13454000128,,,,78373003264,24.6,10.8,25.8,268.0,45.71,188.15385,2.53846,13,1.178,193.71,106.67,,1.7,CA_Banks,43,C,🔴 SKIP,,,,,,,,,,,,,,
BNS.TO,BANK OF NOVA SCOTIA,Financial Services,Banks - Diversified,CAD,97.64,120.71,14.486648,10.655515,1.3742822,,3.6302447,10.333,0.622,26.852999999999998,0.0,37.486999999999995,,-30787000320,33251999744,,,,316472000512,23.5,161.4,99.4,451.0,64.69,106.57143,2.85714,14,1.191,106.39,62.57,,9.1,CA_Banks,43,C,🔴 SKIP,,,,,,,,,,,,,,
BMO.TO,BANK OF MONTREAL,Financial Services,Banks - Diversified,CAD,189.64,134.44,15.803333,11.749217,1.5913801,,4.015438,10.471,0.62,27.076,0.0,39.866,,16892999680,33479999488,,,,326468009984,10.0,19.8,16.7,352.0,54.330003000000005,204.42857,2.64286,14,1.149,204.57,121.31,,7.8,CA_Banks,43,C,🔴 SKIP,,,,,,,,,,,,,,
DUK,Duke Energy Corporation (Holdi,Utilities,Utilities - Regulated Electric,USD,132.22,102.9,20.954042,18.477707,2.0222073,12.028,3.236735,9.724,2.806,15.628,51.897000000000006,28.087,-2002625024.0,12330000384,31790000128,1.71838,0.552,0.213,91107000320,8.0,-2.2,-1.7,322.0,66.88,138.29411,,17,0.454,134.49,111.22,-1.95,4.6,US_Utilities,42,C,🔴 SKIP,,,,,,,,,,,,,,
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USD,93.15,194.08,28.227274,21.271883,3.5531738,21.245,7.080113,8.3739996,2.5710002,24.934,62.268,24.445999,-15209124864.0,12485000192,27412000768,1.4624199999999998,0.595,0.39,97220001792,20.7,26.0,27.6,268.0,68.67,94.61182,1.91667,22,0.733,95.91,61.72,-7.84,1.6,US_Utilities,42,C,🔴 SKIP,,,,,,,,,,,,,,
EMA.TO,EMERA INCORPORATED,Utilities,Utilities - Regulated Electric,CAD,73.32,22.12,21.692307,20.289286,1.8498802,13.308,2.5210376,8.169,2.955,12.409,43.813,13.908000000000001,-1922875008.0,1802000000,8775999488,1.61123,0.662,0.317,21583998976,13.8,-56.9,-49.7,398.0,86.02,70.89286,2.73333,14,0.458,73.75,56.59,-8.69,-3.3,CA_Utilities,41,C,🔴 SKIP,,,,,,,,,,,,,,
SHOP.TO,SHOPIFY INC,Technology,Software - Application,CAD,164.58,215.63,124.681816,51.543694,11.454978,108.332,18.659773,9.836,8.149000000000001,10.6520005,48.07,20.288999999999998,1286249984.0,2032999936,11555999744,0.01395,5.96,4.584,188000000,30.6,-42.3,-42.5,0.0,0.0,193.45586,1.73077,4,2.822,253.1,99.8,0.6,17.5,CA_Tech,41,C,🔴 SKIP,,,,,,,,,,,,,,
INTC,Intel Corporation,Technology,Semiconductors,USD,50.38,252.96,,50.779125,2.201538,21.643,4.7860765,0.022000000000000002,0.28400002,-0.505,36.563998,5.1409997,-4504500224.0,9697000448,52852998144,0.37282,2.017,1.307,47109001216,-4.1,,,0.0,0.0,47.11098,2.8125,41,1.349,54.6,17.67,-1.78,-6.5,US_Tech,40,C,🔴 SKIP,,2026-05-15,40.0,48.0,4.72,3.4,3.55,3.47,4.32,3386.0,70.46,7.24,66.06,4800.0
BN.TO,BROOKFIELD CORPORATION,Financial Services,Asset Management,CAD,56.93,127.78,83.72059,,2.0984821,16.335,1.6454965,1.951,2.552,1.683,31.889,29.201,-4624750080.0,10958000128,77656997888,1.6403800000000002,1.265,0.52,272620994560,3.5,80.4,72.0,69.0,48.980000000000004,75.79564,2.0,3,1.832,68.44,41.253334,-3.62,33.1,CA_Diversified,39,D,🔴 SKIP,,,,,,,,,,,,,,
SRE,DBA Sempra,Utilities,Utilities - Diversified,USD,99.2,64.81,36.072727,17.941145,2.0494597,20.033,4.7300096,5.1909998,1.7739999999999998,13.4,41.184,27.741,-27727874048.0,4565000192,13701999616,0.8338500000000001,1.591,0.092,35021000704,-0.2,-48.2,-47.9,265.0,93.82000000000001,102.875,1.77778,16,0.677,99.28,61.9,-42.78,3.7,US_Utilities,38,D,🔴 SKIP,,,,,,,,,,,,,,
TOU.TO,TOURMALINE OIL CORP,Energy,Oil & Gas E&P,CAD,64.32,24.9,94.588234,12.409035,1.6127981,,5.4255843,1.696,0.22100000000000003,5.722,46.319,-78.182,-1681757952.0,3387019008,4590222848,0.12252,0.825,0.335,1891291008,18.8,,,311.0,294.12,71.40476,1.80952,21,0.33,70.57,55.4,-6.75,11.0,CA_Energy,33,D,🔴 SKIP,,,,,,,,,,,,,,
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USD,90.37,102.96,75.308334,30.600084,-12.271864,23.57,2.7308724,0.0,6.874,3.6310002,22.167999,9.261999999999999,-1439387520.0,4273200128,37701701632,,1.047,0.419,25488199680,5.5,-62.5,-62.4,274.0,204.17000000000002,99.36364,2.46154,33,0.944,104.82,75.5,-1.4,10.0,US_Consumer_Disc,17,D,🔴 SKIP,,,,,,,,,,,,,,
