ticker,name,sector,industry,currency,price,mktcap_B,pe,forward_pe,pb,ev_ebitda,ps,roe,roa,profit_margin,gross_margin,operating_margin,fcf,operating_cf,total_revenue,debt_equity,current_ratio,quick_ratio,total_debt,revenue_growth,earnings_growth,earnings_quarterly_growth,div_yield,payout_ratio,target_price,analyst_rating,num_analysts,beta,week52_high,week52_low,fcf_yield,upside_pct,group,score,grade,tier,days_to_earnings,opt_expiration,opt_dte,opt_strike,opt_pct_otm,opt_bid,opt_ask,opt_mark,opt_spread_pct,opt_oi,opt_iv,opt_roc,opt_ann_yield,opt_capital_secured
ATRL.TO,ATKINSREALIS GROUP INC,Industrials,Engineering & Construction,CAD,90.87,15.06,5.8968205,18.584192,2.7187865,16.379,1.3689098,56.490004000000006,3.8120000000000003,23.888001,8.84,5.979,477374496.0,461278016.0,11002597376.0,0.23488,1.08,0.995,1308077952.0,13.4,89.4,81.2,9.0,0.52,117.13333,1.6,15,1.016,106.82,64.92,3.17,28.9,CA_Industrials,79,A,🟢 STRONG,,,,,,,,,,,,,,
IGM.TO,IGM FINANCIAL INC.,Financial Services,Asset Management,CAD,69.27,16.23,14.928879,12.652933,1.8210256,9.773,3.760677,13.094,5.092,25.517,41.237998,49.060002000000004,6253320704.0,1034990976.0,4314695168.0,0.28382,1.778,0.265,2565210112.0,14.7,27.3,26.5,358.0,48.490003,69.75,,8,1.088,69.54,40.87,38.54,0.7,CA_Insurance,79,A,🟢 STRONG,,,,,,,,,,,,,,
KNT.TO,K92 MINING INC,Basic Materials,Gold,CAD,24.91,6.1,16.175325,6.750879,5.6927304,14.105,10.256062,43.499002,30.848,45.391998,73.639,65.76000499999999,15589375.0,280910016.0,595249024.0,0.07105,3.278,2.594,54534000.0,46.9,34.4,35.2,0.0,0.0,35.58333,1.63636,12,1.315,33.45,12.06,0.26,42.8,CA_Mixed,78,A,🟢 STRONG,,,,,,,,,,,,,,
DPM.TO,DPM METALS INC,Basic Materials,Gold,CAD,54.51,12.1,19.75,9.105222,3.4030242,20.981,12.729478,19.136,12.589,38.846000000000004,63.749003,54.237,548801600.0,652097024.0,950481024.0,0.00483,3.584,3.28,12422000.0,96.8,37.4,72.0,41.0,8.04,61.435535,1.5,12,1.288,60.13,17.37,4.54,12.7,CA_Mining_Spec,78,A,🟢 STRONG,,,,,,,,,,,,,,
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,USD,67.8,97.44,44.605267,17.119743,5.151584,12.743,3.7600722,13.946,7.192,8.505,37.063,14.396999999999998,1559124992.0,5609999872.0,25915000832.0,0.34103,2.291,0.912,10492000256.0,-1.5,47.7,48.2,88.0,39.470002,67.82857,1.63636,21,1.473,69.75,32.12,1.6,0.0,US_Materials,78,A,🟢 STRONG,,2026-05-15,34.0,65.0,4.13,2.92,2.99,2.96,2.37,1452.0,51.37,4.55,48.8,6500.0
SU.TO,SUNCOR ENERGY INC.,Energy,Oil & Gas Integrated,CAD,89.29,106.25,18.41031,14.34366,2.361732,7.859,2.172444,13.204001000000002,5.6220002,12.100001,59.077999999999996,15.728,6368875008.0,12780999680.0,48908001280.0,0.32951,1.394,0.866,14869000192.0,-3.9,87.6,80.4,269.0,47.63,91.26316,2.1,19,0.598,94.34,45.87,5.99,2.2,CA_Energy_Majors,77,A,🟢 STRONG,,,,,,,,,,,,,,
CNQ.TO,CDN NATURAL RES,Energy,Oil & Gas E&P,CAD,64.16,133.89,12.43411,15.581893,3.0102284,9.657,3.454183,25.812997999999997,5.757000000000001,27.914,48.461999999999996,19.555001,6421624832.0,15105999872.0,38762000384.0,0.44455,0.951,0.579,19722999808.0,1.5,371.8,366.0,390.0,45.540002,67.31579,2.28571,19,0.934,70.99,37.5,4.8,4.9,CA_Energy_Majors,77,A,🟢 STRONG,,,,,,,,,,,,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USD,238.46,574.66,21.599638,18.957172,7.041488,17.848,6.100926,35.029998,8.6780004,28.456,68.081003,23.966,16633249792.0,24529999872.0,94193000448.0,0.60499,1.028,0.689,49332998144.0,9.1,48.6,49.1,218.00000000000003,46.6,241.91667,2.12,24,0.329,251.71,146.12,2.89,1.4,US_Healthcare,77,A,🟢 STRONG,,,,,,,,,,,,,,
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,USD,28.11,30.05,10.770116,9.528813,1.0808213,13.035,7.5008516,10.217,4.951000199999999,69.281,99.14,80.31,1466810752.0,2509990912.0,4006116096.0,0.6267900000000001,17.233,17.231,17689739264.0,3.8,-3.4,-1.6,634.0,67.620003,34.34783,1.79167,23,0.728,34.01,26.55,4.88,22.2,US_REITS,77,A,🟢 STRONG,,,,,,,,,,,,,,
HBM.TO,HUDBAY MINERALS INC.,Basic Materials,Copper,CAD,33.67,13.36,16.919598,11.388787,2.9741004,13.829,6.0438385,19.198999,6.042,25.712000000000003,53.501,29.758000000000003,458150016.0,707299968.0,2211000064.0,0.35802999999999996,0.947,0.771,1156800000.0,25.3,544.9,503.8,6.0,0.9900000000000001,41.013134,1.38095,19,2.15,38.94,9.39,3.43,21.8,CA_BaseMetals,77,A,🟢 STRONG,,,,,,,,,,,,,,
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,USD,121.42,300.2,16.655693,12.428094,5.711732,11.552,4.6176467,36.882,12.042,28.077999999999996,77.212,32.773998,11886749696.0,16472000512.0,65010999296.0,0.95959,1.536,0.963,50533998592.0,5.0,-19.3,-20.8,280.0,45.049998,129.25926,1.82759,27,0.275,125.14,73.31,3.96,6.5,US_Healthcare,76,A,🟢 STRONG,,,,,,,,,,,,,,
WSP.TO,WSP GLOBAL INC,Industrials,Engineering & Construction,CAD,218.87,29.51,29.77823,16.555475,2.9978905,15.467,1.6137444,10.6529996,5.380999999999999,5.274,20.703,10.3269994,2009350016.0,2246000128.0,18285000704.0,0.50569,1.267,1.189,4976699904.0,4.1,52.8,53.6,69.0,20.380000000000003,323.57144,1.42857,14,0.509,291.46,210.86,6.81,47.8,CA_Industrials,76,A,🟢 STRONG,,,,,,,,,,,,,,
NWC.TO,THE NORTH WEST COMPANY INC,Consumer Defensive,Grocery Stores,CAD,55.14,2.62,19.212543,13.675866,3.2962697,9.806,1.0067202,18.043,8.821,5.369,33.911,8.758000000000001,115802128.0,279595008.0,2598209024.0,0.5334599999999999,2.105,0.705,438950016.0,0.1,-8.0,-8.8,297.0,56.450003,63.0,1.25,4,0.518,57.95,44.63,4.43,14.3,CA_Consumer,76,A,🟢 STRONG,,,,,,,,,,,,,,
ELD.TO,ELDORADO GOLD CORPORATION,Basic Materials,Gold,CAD,50.45,10.0,14.3732195,5.258368,1.6786091,10.257,5.496002,12.781999999999998,7.5050004,27.889000000000003,61.446999999999996,45.845002,65065248.0,742155008.0,1818855936.0,0.3011,1.835,1.456,1289650944.0,32.5,134.8,129.2,81.0,0.0,67.26237,2.875,4,1.432,69.46,23.99,0.65,33.3,CA_Mixed,76,A,🟢 STRONG,,,,,,,,,,,,,,
